name,position,G,GS,MP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Lauren Ervin,Forward,8,0,7,1,2.1,0.471,0,0,,1,2.1,0.471,0,0.3,0,0.5,1.1,1.6,0,0.1,0,0.3,0.6,2
Dawn Evans,Guard,3,0,5,0.3,1.7,0.2,0,1.3,0,0.3,0.3,1,0,0,,0,0,0,1,0.3,0,0.7,0.3,0.7
Temi Fagbenle,Center,51,2,7.3,0.9,1.9,0.505,0,0,,0.9,1.9,0.505,0.5,0.6,0.719,0.6,0.9,1.6,0.4,0.2,0.3,0.6,0.9,2.3
Trisha Fallon,Guard-Forward,57,16,19.7,2.6,5.9,0.445,0.4,0.9,0.389,2.3,5,0.456,1.3,1.7,0.792,0.8,1,1.7,1,0.8,0.3,1.1,1.3,7
Kelly Faris,Guard,112,12,11.7,0.7,2,0.361,0.2,0.8,0.281,0.5,1.2,0.415,0.4,0.5,0.82,0.4,1.2,1.6,0.7,0.4,0.1,0.6,1.3,2.1
Barbara Farris,Forward-Center,280,73,16,1.4,3.1,0.433,0,0,0,1.4,3.1,0.435,1.2,1.8,0.682,1,1.9,3,0.6,0.4,0.1,1.1,2,3.9
Jamierra Faulkner,Guard,118,32,17.2,2.5,6.5,0.387,0.5,1.7,0.29,2,4.8,0.421,1.2,1.5,0.801,0.3,1.2,1.5,3.4,0.8,0.2,1.9,1.6,6.8
Allison Feaster,Forward,284,156,22.2,2.6,6.9,0.378,1.3,3.8,0.344,1.3,3.1,0.421,1.4,1.7,0.835,0.8,1.6,2.4,1.4,0.8,0.2,1.3,1.8,8
Sui Feifei,Guard,5,0,4.8,0.2,1.2,0.167,0.2,0.2,1,0,1,0,0.8,0.8,1,0,0.2,0.2,0.6,0,0,0.4,0.6,1.4
Marie Ferdinand-Harris,Guard,305,205,24.2,3.5,8.6,0.402,0.4,1.4,0.28,3.1,7.2,0.425,2.5,3.2,0.795,0.8,1.9,2.7,1.7,1.1,0.1,1.7,2.1,9.8
Marta Fernandez,Guard,34,20,26.2,3.1,8.3,0.379,0.4,1.4,0.245,2.8,6.9,0.408,2.1,2.6,0.798,0.4,1.8,2.1,3,1.1,0.4,2.6,0.9,8.7
Marina Ferragut,Forward,23,4,6.7,1,2.3,0.434,0.1,0.4,0.3,0.9,1.9,0.465,0,0.1,0.5,0.2,0.6,0.7,0.2,0,0.1,0.5,1.5,2.2
